timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
4224000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,1,1,255,190,0,1
6224000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,1,1,255,190,0,1
8224000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,1,1,255,190,0,1
10224000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,1,1,255,190,0,1
12224000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,1,1,255,190,0,1
14224000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,1,1,255,190,0,1
37564000,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
38272000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
38376000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
38476000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
42988000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
42988000,0.0,0.0,2.0,1.0,0.0,0.0,666.0,183,1,0,0,0,0,1
44000000,-1.0,0.0,2.0,3.0,0.0,0.0,666.0,183,1,0,0,0,0,1
54008000,0.0,0.0,2.0,3.0,0.0,0.0,777.0,183,1,0,0,0,0,1
54012000,0.0,0.0,2.0,6.0,0.0,0.0,666.0,183,1,0,0,0,0,1
74024000,0.0,0.0,2.0,6.0,0.0,0.0,777.0,183,1,0,0,0,0,1
74028000,40.154029846191406,116.25936889648438,0.0,0.0,0.0,0.0,58.245,21,1,0,0,0,0,1
74028000,0.0,0.0,2.0,7.0,0.0,0.0,666.0,183,1,0,0,0,0,1
79040000,0.0,0.0,2.0,7.0,0.0,0.0,777.0,183,1,0,0,0,0,1
79040000,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,0,0,0,1
79540000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,1,0,0,0,0,1
